filename,text_type,local_coherence,local_variance,global_coherence,thematic_coherence,topic,num_sentence_pairs
WP3_2,W_text,0.2439,0.0220,0.6225,0.9147,Funktionelle Kniestabilität im Handball: Ein unverzichtbares Kriterium für sicheren Sport,39
WP1_2_processed,W_text,0.2012,0.0128,0.5847,0.8889,Corona bei Kindern: Die Co-Ki Studie - Relevanz von SARS-CoV-2 in der ambulanten pädiatrischen Versorgung in Deutschland,6
WP3_1_processed,W_text,0.2471,0.0156,0.3251,0.9083,Funktionelle Kniestabilität im Handball: Ein unverzichtbares Kriterium für sicheren Sport,23
WP2_3_processed,W_text,0.1216,0.0012,0.1631,0.8522,Aluminiumhydroxychlorid-Flockungsmittel aus dem Kupferrecycling aus Abfällen der Leiterplattenproduktion,9
WP3_3,W_text,0.2388,0.0220,0.5286,0.9066,Funktionelle Kniestabilität im Handball: Ein unverzichtbares Kriterium für sicheren Sport,78
K13_4,K_text,0.3105,0.0431,0.6344,0.8751,Agile Dokumentation in der KI: Anspruch und Wirklichkeit,29
WP5_1,W_text,0.1723,0.0074,0.1560,0.9360,"Textur, Transparenz und Täuschung: Blaue Papiere in Pastellen und Schriftquellen des 18. Jahrhunderts",16
K08_3,K_text,0.2879,0.0405,0.6971,0.7439,KI - Neue Geschäftsmodelle für den Mittelstand,30
WP4_1_processed,W_text,0.1914,0.0119,0.4606,0.8771,Umkämpfte Globalisierung: Amerikanische und europäische Reaktionen auf Chinas Aufstieg im Hochtechnologiebereich,34
WP1_1_processed,W_text,0.3478,0.0249,0.6355,0.8516,Corona bei Kindern: Die Co-Ki Studie - Relevanz von SARS-CoV-2 in der ambulanten pädiatrischen Versorgung in Deutschland,13
WP1_1,W_text,0.3503,0.0252,0.6357,0.8520,Corona bei Kindern: Die Co-Ki Studie - Relevanz von SARS-CoV-2 in der ambulanten pädiatrischen Versorgung in Deutschland,13
K01_5,K_text,0.3280,0.0325,0.5682,0.7129,Wahrnehmung von Technik und Digitalisierung,18
WP5_2,W_text,0.1655,0.0048,0.2231,0.9311,"Textur, Transparenz und Täuschung: Blaue Papiere in Pastellen und Schriftquellen des 18. Jahrhunderts",11
K01_1,K_text,0.1939,0.0002,0.1804,0.7740,Wahrnehmung von Technik und Digitalisierung,2
K13_2,K_text,0.4234,0.0439,0.4556,0.8763,Agile Dokumentation in der KI: Anspruch und Wirklichkeit,23
K04_1_processed,K_text,0.5788,0.0124,0.7070,0.7427,Branchenübergreifenden KI-Lösungen und offene Plattformen,6
K01_3,K_text,0.4425,0.0507,0.5452,0.7686,Wahrnehmung von Technik und Digitalisierung,6
WP2_1_processed,W_text,0.2270,0.0195,0.5481,0.8443,Aluminiumhydroxychlorid-Flockungsmittel aus dem Kupferrecycling aus Abfällen der Leiterplattenproduktion,26
WP3_4_processed,W_text,0.2624,0.0217,0.5907,0.8985,Funktionelle Kniestabilität im Handball: Ein unverzichtbares Kriterium für sicheren Sport,15
WP4_2_processed,W_text,0.2206,0.0244,0.6177,0.8851,Umkämpfte Globalisierung: Amerikanische und europäische Reaktionen auf Chinas Aufstieg im Hochtechnologiebereich,71
WP3_2_processed,W_text,0.2439,0.0220,0.6225,0.9147,Funktionelle Kniestabilität im Handball: Ein unverzichtbares Kriterium für sicheren Sport,39
WP5_4,W_text,0.1078,0.0004,0.1219,0.9365,"Textur, Transparenz und Täuschung: Blaue Papiere in Pastellen und Schriftquellen des 18. Jahrhunderts",12
WP2_4,W_text,0.1633,0.0025,0.2223,0.8696,Aluminiumhydroxychlorid-Flockungsmittel aus dem Kupferrecycling aus Abfällen der Leiterplattenproduktion,5
K01_3_processed,K_text,0.4425,0.0507,0.5452,0.7686,Wahrnehmung von Technik und Digitalisierung,6
WP5_1_processed,W_text,0.1723,0.0074,0.1560,0.9360,"Textur, Transparenz und Täuschung: Blaue Papiere in Pastellen und Schriftquellen des 18. Jahrhunderts",16
K13_3_processed,K_text,0.3864,0.0441,0.3627,0.8600,Agile Dokumentation in der KI: Anspruch und Wirklichkeit,17
K13_1,K_text,0.6662,0.0201,0.7547,0.9005,Agile Dokumentation in der KI: Anspruch und Wirklichkeit,3
WP2_3,W_text,0.1216,0.0012,0.1631,0.8522,Aluminiumhydroxychlorid-Flockungsmittel aus dem Kupferrecycling aus Abfällen der Leiterplattenproduktion,9
K04_3,K_text,0.5443,0.0330,0.5720,0.7651,Branchenübergreifenden KI-Lösungen und offene Plattformen,23
K01_5_processed,K_text,0.3280,0.0325,0.5682,0.7129,Wahrnehmung von Technik und Digitalisierung,18
K11_2_processed,K_text,0.3313,0.0422,0.3467,0.8720,Neue Unternehmensmodelle im Energiesektor,13
K08_2_processed,K_text,0.3830,0.0331,0.4681,0.7398,KI - Neue Geschäftsmodelle für den Mittelstand,42
WP4_2,W_text,0.2206,0.0244,0.6177,0.8851,Umkämpfte Globalisierung: Amerikanische und europäische Reaktionen auf Chinas Aufstieg im Hochtechnologiebereich,71
WP4_1,W_text,0.1914,0.0119,0.4606,0.8771,Umkämpfte Globalisierung: Amerikanische und europäische Reaktionen auf Chinas Aufstieg im Hochtechnologiebereich,34
K04_4_processed,K_text,0.5761,0.0392,0.6053,0.7726,Branchenübergreifenden KI-Lösungen und offene Plattformen,11
