filename,text_type,avg_coherence,variance,num_sentence_pairs,top_5_highest,top_5_lowest
WP3_2,original,0.2439,0.0220,39,"(Betrachtet man die Kreuzbandverletzungsrate für de... | Für Frauen liegt die Rate bei 0,72 – 2,79/1000 Stu...) = 0.717; (Obwohl sportmedizinische Erkenntnisse zur Optimier... | 10 – 40 Verletzungen pro 1000 Spielstunden liegt [...) = 0.631; (Eine besondere Bedeutung im Handball kommt dem Kni... | Das Knie ist im Handball mit 18 – 35 % das am häuf...) = 0.551; (Um einerseits die handballspezifische Leistung zu ... | Obwohl sportmedizinische Erkenntnisse zur Optimier...) = 0.508; (Das Knie ist im Handball mit 18 – 35 % das am häuf... | Vor allem das vordere Kreuzband weist eine hohe Ve...) = 0.439","(Zeitgleich ist die Re-Ruptur-Rate gerade bei frühe... | haben in ihrer Untersuchung herausgestellt, dass d...) = 0.096; (haben in ihrer Untersuchung herausgestellt, dass d... | 29,9 % der untersuchten Athleten erlitten innerhal...) = 0.103; (29,9 % der untersuchten Athleten erlitten innerhal... | Einer konsequenten Ausbehandlung bis zur Wiedererl...) = 0.106; (Das VKB wird oftmals bei der Landung nach einem Sp... | „Valgus-Moment“, durch Drehbewegungen oder abrupte...) = 0.112; (Hierbei handelt es sich jedoch nicht um eine diffe... | Dennoch geben diese Zahlen einen kritischen Hinwei...) = 0.117"
WP1_2_processed,original,0.2012,0.0128,6,(In Deutschland werden über 80 % der Kinder und Jug... | Diese Berufsgruppe hat eine fortlaufende Onlineerf...) = 0.428; (Für die Erfassung wurden alle im Berufsverband der... | Die Aufforderung zur Teilnahme erfolgte explizit a...) = 0.226; (Diese Berufsgruppe hat eine fortlaufende Onlineerf... | Ein positives Ethikvotum der Universität Witten/He...) = 0.221; (Ein positives Ethikvotum der Universität Witten/He... | Für die Erfassung wurden alle im Berufsverband der...) = 0.120; (Die Aufforderung zur Teilnahme erfolgte explizit a... | Diese Publikation stellt eine deskriptive Zwischen...) = 0.106,(Diese Publikation stellt eine deskriptive Zwischen... | Der verwendete Fragebogen ist in ....) = 0.106; (Die Aufforderung zur Teilnahme erfolgte explizit a... | Diese Publikation stellt eine deskriptive Zwischen...) = 0.106; (Ein positives Ethikvotum der Universität Witten/He... | Für die Erfassung wurden alle im Berufsverband der...) = 0.120; (Diese Berufsgruppe hat eine fortlaufende Onlineerf... | Ein positives Ethikvotum der Universität Witten/He...) = 0.221; (Für die Erfassung wurden alle im Berufsverband der... | Die Aufforderung zur Teilnahme erfolgte explizit a...) = 0.226
WP3_1_processed,original,0.2471,0.0156,23,"(In einem Bericht der Gesellschaft für Arthroskopie... | Der nachfolgende Beitrag soll den aktuellen Forsch...) = 0.525; (Simon Ernst, der 23-jährige Mittelmann des VFL Gum... | „Für Simon tut uns das sehr leid....) = 0.436; (Um einen Leistungseinbruch durch Verletzungen und ... | Es gilt, konditionelle Merkmale zu verbessern, um ...) = 0.392; (Athleten im Handballsport sind immer höheren Belas... | Um einen Leistungseinbruch durch Verletzungen und ...) = 0.390; (Doch was bedeutet möglichst schnell wieder zurückk... | Eine detaillierte Kenntnis über die funktionelle S...) = 0.388","(„Für Simon tut uns das sehr leid.... | Das ist für ihn unheimlich bitter....) = 0.105; (Das ist für ihn unheimlich bitter.... | Wir drücken ihm und Gummersbach die Daumen, dass e...) = 0.107; (Eine detaillierte Kenntnis über die funktionelle S... | Dabei ist der oft chirurgisch wiederhergestellte Z...) = 0.111; (2800 primären vorderen Kreuzband-Operationen inner... | Obwohl das Knie im Handballsport das am häufigsten...) = 0.123; (Dabei ist der oft chirurgisch wiederhergestellte Z... | 2800 primären vorderen Kreuzband-Operationen inner...) = 0.125"
WP2_3_processed,original,0.1216,0.0012,9,"(Für die Untersuchungen wurde ein Flockungsapparat ... | Die Untersuchungen zum Flockungsverhalten wurden m...) = 0.205; (Für Kaolin wurde der pH-Wert zwischen 6 und 9 (2,5... | Die Rührgeschwindigkeit wurde bei allen Rührern gl...) = 0.156; (Für die Ermittlung der Reinigungseffizienz wurde d... | Für die Messung der optischen Dichte wurde ein UV/...) = 0.116; (Die Untersuchungen zum Flockungsverhalten wurden m... | Die für die Flockung notwendige pH-Anpassung ist a...) = 0.111; (Für die Bestimmung der Koagulationseigenschaften d... | Hierbei wird für eine gegebene Suspension der Einf...) = 0.110","(Für die Messung der optischen Dichte wurde ein UV/... | Gemessen wurden gegen Reinstwasser....) = 0.096; (Die für die Flockung notwendige pH-Anpassung ist a... | Für Kaolin wurde der pH-Wert zwischen 6 und 9 (2,5...) = 0.099; (Hierbei wird für eine gegebene Suspension der Einf... | Für die Untersuchungen wurde ein Flockungsapparat ...) = 0.099; (Die Rührgeschwindigkeit wurde bei allen Rührern gl... | Für die Ermittlung der Reinigungseffizienz wurde d...) = 0.102; (Für die Bestimmung der Koagulationseigenschaften d... | Hierbei wird für eine gegebene Suspension der Einf...) = 0.110"
WP3_3,original,0.2388,0.0220,78,"(Hier knüpft das Stop-X-Programm des Komitees Ligam... | Auf Basis wissenschaftlicher Daten wurde ein Präve...) = 0.638; (Hierbei soll neben klinischen Basiskriterien zur G... | Zur Untersuchung der Gelenkfunktion wird empfohlen...) = 0.636; (Dabei werden die 5 Präventionsansätze „Aufklärung,... | Es wird empfohlen, die Übungen zu den Ansätzen 2 b...) = 0.595; (Die erhobenen Daten können muskuläre Ungleichgewic... | Dazu dienen die Parameter der Verzögerungszeit (Td...) = 0.585; (Hierbei muss insbesondere auf das individuelle Lei... | Während der Vergleich zu den Mitspielern (bzw. Spi...) = 0.582","(Dennoch objektiviert er nur den Bewegungsumfang.... | Die Testdurchführung kann nicht in einer objektive...) = 0.093; (Referenzwerte zu Mitspielern fehlen meist.... | Gleichzeitig bildet keiner der zuvor aufgeführten ...) = 0.093; (konzentrische oder exzentrische Kraft, getestet.... | Präoperative Muskelschwächen gelten bereits als Pr...) = 0.093; (Diese kann jedoch eine mögliche Ursache für Asymme... | Referenzwerte zu Mitspielern fehlen meist....) = 0.093; (Dazu gehören insbesondere Defizit-orientierte Trai... | Eine solche Evaluation bedarf mehrerer konsekutive...) = 0.093"
K13_4,original,0.3105,0.0431,29,"(Das bestärkende Lernen, ist zu vergleichen mit dem... | Zuletzt  kommt das aktive Lernen , dort bietet man...) = 0.762; (Momentan gibt es vier große KI -Verfahren , die ma... | Das am 
meisten verbreitetste Verfahren ist das ma...) = 0.748; (Es definiert das eigenständige Lernen 
eines IT -S... | Es gibt fünf verschieden Arten des maschinellen 
L...) = 0.679; (Diese Methode wird von Google und Microsoft zur An... | Somit findet die Bild - oder 
Tonerkennung momenta...) = 0.636; (Das am 
meisten verbreitetste Verfahren ist das ma... | Die drei weiteren 
Verfahren sind die Bild - oder ...) = 0.623","(Deshalb programmiert man Bots oder Assistenten, di... | Somit schalten sich Mitarbeiter des Kundenservice ...) = 0.095; (B. die 
Deutsche Bahn, um Schienen zu prüfen.20 Wi... | Größtenteils sind sie in Krankenhäusern und Arztpr...) = 0.110; (Dadurch entsteht ein 
geringer Aufwand für die Mit... | Kunden solcher Verfahren sind z....) = 0.119; (Somit schalten sich Mitarbeiter des Kundenservice ... | Anders ist es bei Sprachbots wie  Alexa, Siri oder...) = 0.120; (Sie 
erkennen Aussagen und verstehen , was diese A... | Bots 
oder Assistenten findet man häufig bei Firme...) = 0.132"
WP5_1,original,0.1723,0.0074,16,"([33] Während Peter Bower für die englische Papierh... | Letzterer führte für das 17. Jahrhundert in Englan...) = 0.441; ([25] Festzuhalten ist, dass es sich zunächst nicht... | Jahrhundert hinzugefügt wurden und von Künstler:in...) = 0.263; ([35] Ein sprechendes Beispiel für die Farbveränder... | 2), einem der Rektoren der Académie Royale....) = 0.237; ([23] Zwar entdeckten Künstler:innen das blaue Papi... | [25] Festzuhalten ist, dass es sich zunächst nicht...) = 0.213; ([31] Die seit dem 17. Jahrhundert exportierten und... | [33] Während Peter Bower für die englische Papierh...) = 0.184","([29] Anhand der Häufung von oberitalienischen Zeic... | [30] Im 16. Jahrhundert lassen Wasserzeichen auf i...) = 0.096; ([30] Im 16. Jahrhundert lassen Wasserzeichen auf i... | [31] Die seit dem 17. Jahrhundert exportierten und...) = 0.097; (Jahrhundert hergestellt wurden, sind beiderseits d... | [29] Anhand der Häufung von oberitalienischen Zeic...) = 0.099; (2), einem der Rektoren der Académie Royale.... | Während sich das Blau an den vormals durch eine Ra...) = 0.110; (Jahrhundert hinzugefügt wurden und von Künstler:in... | [26]

Die Frühzeit der Herstellung farbiger Papier...) = 0.112"
K08_3,original,0.2879,0.0405,30,"(Um das erreicht werden kann müssen Unternehmen ihr... | Ein wichtiger Bestandteil dieser IT-Infrastruktur
...) = 0.718; (Durch die Digitalisierung stehen Unternehmen unter... | Megatrends sind Trends welche schon jetzt großen E...) = 0.655; (Dadurch ist es möglich besser mit den Beschleunigu... | Es gibt auch Geschäftsmodelle die sich nur auf die...) = 0.598; (Auch der Wegfall von bestehenden
Geschäftsmodellen... | Weshalb es sehr wichtig für die Strategie eines Un...) = 0.581; (Dies beinhaltet auch Beschreibungen von unterschie... | Diese Deﬁnition enthält alle
wichtigen Punkte die ...) = 0.569","(Durch die Aufhebung der Abgrenzungen unter-
schied... | Ein Exempel dafür ist wieder Facebook, welches Wha...) = 0.093; (Facebook vertritt die-
ses Geschäftsmodell, indem ... | Durch die Aufhebung der Abgrenzungen unter-
schied...) = 0.093; (Einer der ersten
Deﬁnitionen war folgende: Ein Ges... | Dies beinhaltet auch Beschreibungen von unterschie...) = 0.094; (Diesen Trend der
verkürzten Lebensdauer kann man a... | Sie verdrängen
das Geschäftsmodell der Videotheken...) = 0.095; (Diese Deﬁnitionen enthalten oft folgende Punk-
te:... | Einer der ersten
Deﬁnitionen war folgende: Ein Ges...) = 0.095"
WP4_1_processed,original,0.1914,0.0119,34,"(Wir vertreten die These, dass die politischen Reak... | Unsere Analyse zielt dabei nicht primär auf Chinas...) = 0.618; (Wir stellen zunächst mit Bezug zur Vergleichenden ... | Dieses wird als hybrider Parteistaatskapitalismus ...) = 0.426; (Unsere Analyse zielt dabei nicht primär auf Chinas... | Wir stellen zunächst mit Bezug zur Vergleichenden ...) = 0.335; (Die US-Sanktionen zielen dabei insbesondere auf ch... | Die Regierung Biden setzt diese Politik fort und b...) = 0.306; (Neben einer Reform des Investitionsregimes, das ei... | Ähnlich wie die USA verfolgt die EU-Kommission neu...) = 0.275","(Denn der Außenhandel wird in dieser neuen Konzepti... | Die duale Zirkulationsstrategie wird sogar als Geg...) = 0.093; (Mit der dualen Zirkulationsstrategie steht nun die... | Dies bedeutet jedoch keinen Rückzug vom Weltmarkt....) = 0.096; (Die duale Zirkulationsstrategie verschiebt damit d... | Denn der Außenhandel wird in dieser neuen Konzepti...) = 0.100; (Daraufhin wird mit Hilfe des Weltsystemansatzes di... | Seit 2017 lassen sich vermehrt Konflikte mit den U...) = 0.104; (Die politischen Reaktionen der USA und der EU spie... | Die neue Systemkonkurrenz deutet darauf hin, dass ...) = 0.105"
WP1_1_processed,original,0.3478,0.0249,13,"(Todesfälle durch COVID19 sind bei Kindern und Juge... | Bis zum 01.09.2020 wurden deutschlandweit 3 Todesf...) = 0.681; (Die aktuelle Studienlage deutet darauf hin, dass K... | Zu schweren Verläufen kommt es bei Kindern selten,...) = 0.513; (Bis zum 01.09.2020 wurden deutschlandweit 3 Todesf... | Diese hatten jeweils Vorerkrankungen [6]....) = 0.459; (Weiterhin stellen sie sich die Frage nach der gesu... | Die vorliegende Erhebung stellt die Pandemiesituat...) = 0.437; (Häufig werden Kinder- und Jugendärztinnen und -ärz... | B. Kindergarten- und Schulschließungen, und deren ...) = 0.432","(B. Kindergarten- und Schulschließungen, und deren ... | Weiterhin stellen sie sich die Frage nach der gesu...) = 0.102; (Darüber hinaus ist leider nicht bekannt, wie viele... | Todesfälle durch COVID19 sind bei Kindern und Juge...) = 0.168; (Diese hatten jeweils Vorerkrankungen [6].... | Ob Kinder grundsätzlich eine geringere Infektionsp...) = 0.196; (Deshalb stellen sich die Fragen, ob nicht alle Kin... | Darüber hinaus ist leider nicht bekannt, wie viele...) = 0.200; (Diese beiden Altersgruppen repräsentieren jedoch j... | Deshalb stellen sich die Fragen, ob nicht alle Kin...) = 0.245"
